zipcode,avg_price,max_price,min_price,house_count
98011,490351.4666666667,1075000.0,245500.0,195
98144,534042.0790273556,1480000.0,181000.0,329
98014,426500.1818181818,937500.0,80000.0,121
98109,780114.75,1450000.0,216650.0,100
98033,715620.2574257426,1485000.0,130000.0,404
98008,581527.6934306569,1400000.0,250000.0,274
98058,351083.54405286344,1135250.0,95000.0,454
98118,410364.26086956525,1485000.0,109000.0,506
98023,286732.79158316634,1275000.0,86500.0,499
98005,773399.3765432099,1325000.0,400000.0,162
98031,300539.8905109489,800000.0,147500.0,274
98010,423665.99,935000.0,135000.0,100
98117,576795.007233273,1370000.0,125000.0,553
98072,566300.2242647059,1395000.0,200000.0,272
98004,957420.2669902913,1495000.0,425000.0,206
98065,523203.7961165049,1210000.0,170000.0,309
98030,296187.98046875,565000.0,120000.0,256
98155,401817.8231292517,1175000.0,153000.0,441
98103,579784.5326633166,1465000.0,238000.0,597
98178,305289.43295019155,1100000.0,90000.0,261
98032,251296.24,545000.0,85000.0,125
98070,487479.6271186441,1379900.0,160000.0,118
98022,315709.30341880344,858000.0,75000.0,234
98177,602217.1810699588,1465000.0,245560.0,243
98102,759594.0,1475000.0,330000.0,97
98119,760324.4476744186,1465000.0,300523.0,172
98133,387092.7261663286,808100.0,130000.0,493
98106,318981.33832335327,795000.0,90000.0,334
98108,355678.51612903224,640000.0,90000.0,186
98003,294111.27857142856,950000.0,128000.0,280
98077,665689.364102564,1400000.0,250000.0,195
98006,768593.0585683297,1488000.0,247500.0,461
98028,458446.27659574465,1127500.0,160000.0,282
98168,240328.3717472119,600000.0,78000.0,269
98148,284908.5964912281,600600.0,105500.0,57
98092,334921.0626780627,930000.0,90000.0,351
98001,280804.6906077348,850000.0,100000.0,362
98056,407150.2803970223,1088000.0,139000.0,403
98059,486427.9849137931,1320000.0,172500.0,464
98052,640669.3286713287,1442500.0,225000.0,572
98199,731997.3465346535,1450000.0,323000.0,303
98002,234284.0351758794,389000.0,95000.0,199
98034,488774.9213483146,1490000.0,90000.0,534
98039,1145200.0,1450000.0,787500.0,15
98053,657065.4246231156,1408760.0,170000.0,398
98166,434411.1927710843,1309500.0,100000.0,249
98074,661827.129330254,1450000.0,280000.0,433
98105,748933.7156862745,1485000.0,380000.0,204
98146,359483.2395833333,1410000.0,82000.0,288
98188,289078.3455882353,707000.0,110000.0,136
98024,495142.26666666666,1459000.0,142000.0,75
98042,311632.10583941604,859000.0,105000.0,548
98107,561628.1711026616,1205000.0,290000.0,263
98055,304004.6629213483,631000.0,100000.0,267
98198,302878.8821428571,1350000.0,95000.0,280
98126,424706.3559322034,1085000.0,110000.0,354
98122,603115.487544484,1495000.0,202000.0,281
98116,604817.1349693252,1400000.0,130000.0,326
98029,600029.2735849057,1450000.0,285000.0,318
98112,855947.7916666666,1475000.0,169317.0,216
98115,607974.0363951473,1400000.0,200000.0,577
98125,458849.7936117936,1360000.0,175000.0,407
98019,424788.74736842106,1015000.0,119500.0,190
98038,366867.6,1350000.0,110000.0,590
98075,762883.5767045454,1481000.0,406430.0,352
98045,432605.0409090909,1488000.0,175000.0,220
98136,534642.7730769231,1339000.0,200000.0,260
98040,955018.8054298642,1490000.0,500000.0,221
98007,617105.085106383,1315000.0,295000.0,141
zipcode,,,,0
98027,588926.3217821782,1385000.0,130000.0,404
